sa2_code,name,worksheet_row,erp_2020,erp_2021,erp_2022,erp_2023,erp_2024,erp_2025
206061516,South Yarra - South,804,11285,10097,9883,10435,10452,10440
206071139,Abbotsford,805,9672,9258,9450,9948,10207,10316
206071140,Carlton North - Princes Hill,806,8899,8290,8114,8486,8678,8828
206071141,Collingwood,807,9969,9351,9589,10398,11034,11383
206071142,Fitzroy,808,11299,10608,10739,11407,11884,12135
206071143,Fitzroy North,809,13659,12945,12905,13308,13618,13749
206071145,Clifton Hill - Alphington,810,10163,9978,10233,10924,11220,11419
206071517,Richmond (South) - Cremorne,811,18929,17977,17762,18591,19092,19225
206071518,Richmond - North,812,15025,14074,13987,14798,15194,15303
207011146,Ashburton (Vic.),813,8309,8021,7930,8137,8365,8471
207011147,Balwyn,814,17031,16323,16286,16698,16901,16868
207011148,Balwyn North,815,21930,21406,21306,21866,22276,22454
207011149,Camberwell,816,22604,21500,21249,21785,22050,22052
207011150,Glen Iris - East,817,17375,17006,16865,17201,17491,17650
207011152,Hawthorn East,818,16698,15881,16063,16838,17242,17541
207011154,Kew East,819,6783,6555,6552,6615,6748,6759
207011155,Surrey Hills (West) - Canterbury,820,16786,16083,15887,16167,16193,16229
207011519,Hawthorn - North,821,10862,10017,10017,10524,10759,10910
207011520,Hawthorn - South,822,13360,12137,12227,12875,13394,13562
207011521,Kew - South,823,12385,11717,11713,12085,12302,12306
207011522,Kew - West,824,13752,13143,13160,13409,13624,13799
207021156,Bulleen,825,11657,11370,11419,11629,11730,11810
207021157,Doncaster,826,25118,25173,25632,26863,27827,28353
207021159,Templestowe,827,17548,17101,17136,17429,17419,17442
207021160,Templestowe Lower,828,14581,14280,14336,14433,14586,14695
207021424,Doncaster East - North,829,16144,15786,15768,16155,16306,16642
207021425,Doncaster East - South,830,15942,15593,15689,16262,16650,16983
207031161,Blackburn,831,23032,22356,22299,22897,23415,23732
207031162,Blackburn South,832,11342,11019,10940,11038,11061,11072
207031163,Box Hill,833,24118,23212,23773,25253,26577,27206
207031164,Box Hill North,834,18903,18292,18385,19016,19403,19760
207031165,Burwood (Vic.),835,13468,12522,12899,13981,14851,15480
207031166,Burwood East,836,11053,10774,11074,11862,12323,12460
207031167,Surrey Hills (East) - Mont Albert,837,10666,10251,10301,10621,10720,10776
208011168,Beaumaris,838,14362,14123,13999,14199,14376,14486
208011169,Brighton (Vic.),839,24136,23044,22904,23527,24046,24340
