sa2_code,year,population,reference_date,revision_status,source_id,source_locator
207011147,2021,16323,2021-06-30,final,abs-erp-2024-25,Table 1!AE814
207011147,2022,16286,2022-06-30,revised,abs-erp-2024-25,Table 1!AF814
207011147,2023,16698,2023-06-30,revised,abs-erp-2024-25,Table 1!AG814
207011147,2024,16901,2024-06-30,revised,abs-erp-2024-25,Table 1!AH814
207011147,2025,16868,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI814
207011148,2020,21930,2020-06-30,final,abs-erp-2024-25,Table 1!AD815
207011148,2021,21406,2021-06-30,final,abs-erp-2024-25,Table 1!AE815
207011148,2022,21306,2022-06-30,revised,abs-erp-2024-25,Table 1!AF815
207011148,2023,21866,2023-06-30,revised,abs-erp-2024-25,Table 1!AG815
207011148,2024,22276,2024-06-30,revised,abs-erp-2024-25,Table 1!AH815
207011148,2025,22454,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI815
207011149,2020,22604,2020-06-30,final,abs-erp-2024-25,Table 1!AD816
207011149,2021,21500,2021-06-30,final,abs-erp-2024-25,Table 1!AE816
207011149,2022,21249,2022-06-30,revised,abs-erp-2024-25,Table 1!AF816
207011149,2023,21785,2023-06-30,revised,abs-erp-2024-25,Table 1!AG816
207011149,2024,22050,2024-06-30,revised,abs-erp-2024-25,Table 1!AH816
207011149,2025,22052,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI816
207011150,2020,17375,2020-06-30,final,abs-erp-2024-25,Table 1!AD817
207011150,2021,17006,2021-06-30,final,abs-erp-2024-25,Table 1!AE817
207011150,2022,16865,2022-06-30,revised,abs-erp-2024-25,Table 1!AF817
207011150,2023,17201,2023-06-30,revised,abs-erp-2024-25,Table 1!AG817
