sa2_code,name,boundary_year,gccsa_code,official_area_sq_km,calculated_area_m2,area_crs,is_comparable,eligibility_note,source_id
209041216,Bundoora - North,2021,2GMEL,4.715,4714039.568821731,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209041217,Bundoora - West,2021,2GMEL,2.5601,2560522.990498909,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209041220,Mill Park - North,2021,2GMEL,8.1362,8135139.547952602,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209041221,Mill Park - South,2021,2GMEL,4.9298,4929577.491259919,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209041223,Thomastown,2021,2GMEL,14.6852,14683708.886230096,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209041224,Wallan,2021,2GMEL,507.7457,507704974.7410063,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209041225,Whittlesea,2021,2GMEL,297.9798,297948222.76143056,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209041431,Epping - East,2021,2GMEL,7.7691,7768401.630898746,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209041432,Epping - South,2021,2GMEL,15.8714,15870886.224353513,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209041433,Epping (Vic.) - West,2021,2GMEL,7.3573,7357188.948937592,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209041435,South Morang - North,2021,2GMEL,13.7094,13708120.340915946,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209041436,South Morang - South,2021,2GMEL,7.7445,7743972.713112275,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209041437,Wollert,2021,2GMEL,53.892,53890011.71303226,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209041527,Doreen - North,2021,2GMEL,9.4393,9438120.306053607,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
