sa2_code,ptal_candidate_count,ptal_intersecting_count,ptal_valid_count,ptal_valid_covered_area_m2,ptal_coverage_fraction,park_candidate_count,park_included_feature_count,park_union_area_m2,park_overlap_removed_m2,selected_space_excluding_explicit_water_body_yes_m2_per_person,open_space_inventory_coverage_fraction
209041531,917,676,676,15194393.236561447,1.0,158,66,972736.0653425795,1.1641532182693481e-09,80.65136102666285,
209041532,587,405,405,8626219.037421377,0.9999999999999785,209,83,1154161.1133785602,6.565824151039124e-08,83.30887204985035,
210011226,298,185,185,3720000.160345872,1.0,59,29,252299.23139718545,0.0,28.725860343525625,
210011227,289,172,172,3355066.5942493235,1.0,57,0,0.0,0.0,0.0,
210011228,1754,806,806,17513864.713791847,1.0,403,100,4638271.972428047,0.1076913708820939,531.1809404979429,
210011230,290,149,149,2803158.8592279027,1.0,128,59,504304.223369086,0.07280163757968694,62.66205558761182,
210011231,702,227,227,4144892.6911441917,0.999999999999952,303,130,635518.5225170978,0.04303193755913526,60.318766374060736,
210011533,397,265,265,5408878.296055153,0.9999999999999688,166,84,1566679.5900825222,1.374023583251983,121.81631211278574,
210011534,390,263,263,5483820.138281227,1.0,159,79,613435.5830448382,0.006643984233960509,39.20968891306057,
210021232,1228,160,160,1975367.9713112214,0.009356102340830301,3,0,0.0,0.0,0.0,
210021233,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,
210021234,439,92,92,1043544.8625854447,0.012517002576921163,0,0,0.0,0.0,0.0,
210021235,1756,157,157,2001381.769304567,0.0032031623828693272,12,7,8045.535467377054,0.0,0.6955593902805166,
210031236,266,229,229,4878153.304910378,1.0,169,85,951756.1059218084,262.03755338746123,102.03817373491705,
210031237,335,247,247,5084872.669515045,1.0,167,114,859935.4999832385,0.009404530166648328,55.960806061673914,
210031439,189,84,84,1522773.1493210257,0.9999999999999235,76,35,392941.7998418082,2.9976945370435715e-08,122.22139963976295,
210031440,196,150,150,3050365.3897674945,0.9999999999999707,30,8,80222.51729846402,0.0,12.063536435859252,
210031535,463,296,296,6247702.403900291,1.0,96,28,435980.08355998265,0.0,27.660200708030874,
210031536,187,131,131,2611095.7299408764,0.9999999999999991,90,35,372321.37891597144,0.0,38.93353329665802,
210031537,293,140,140,2353830.8605503035,0.9999999999999974,198,109,300440.3241108376,0.9451879456755705,35.1022694369455,
210031538,284,217,217,4630118.611682839,1.0,158,30,302685.1332190818,0.0,16.208907208904456,
210041240,8469,5443,5443,129565979.14055376,0.9999755367168608,405,131,2682318.045983698,0.0,174.58461637488273,
210041539,4929,2225,2225,51904065.293609984,0.9999999999999869,262,9,134045.1446007889,0.0,18.03136193177145,
210041540,3728,1787,1787,41457245.89878642,0.9999999999999971,268,100,1323827.5517540781,0.0,74.86442072917933,
210041541,2955,1618,1618,37785744.190721065,0.9995405165764706,142,79,1088613.8378712286,0.0,94.68677375586921,
210051242,675,406,406,8826804.964068538,0.999999999999977,149,42,1133602.0655605851,161.8019735473208,75.71480534067477,
210051243,1191,812,812,18186770.268557835,0.9999999999999857,173,74,1157146.823741367,0.12936425930820405,69.56281709849942,
210051245,1186,630,630,13937720.092398746,1.0,306,137,3262508.629190891,0.18383111199364066,178.42541040147438,
210051246,7925,4134,4134,95915621.42270559,1.0,513,198,10993618.759629747,0.06806913204491138,410.86888513771186,
210051247,267,214,214,4625431.802630369,0.999999999999972,144,84,814775.9056823498,0.016620696056634188,54.90033728740197,
210051248,2186,1344,1344,30387801.756591123,1.0,97,19,460410.0620561753,0.00024739361833781004,3541.615861970283,
210051250,346,196,196,3859821.3986021327,0.9999999999999892,60,25,186762.38279019686,2.9103830456733704e-11,27.76310135130026,
210051441,265,199,199,3968562.4853283116,0.9999999999999936,82,40,275724.3196063443,4.437327152118087e-05,33.740127215656415,
210051442,1275,615,615,13351986.74595533,1.0,146,60,1358742.084143195,0.00044649303890764713,105.77160860526197,
210051443,1040,551,551,11914524.854686486,0.9999999999999966,284,140,892058.5942750581,0.662899691844359,36.513388493105246,
210051445,5315,3015,3015,70839340.33547093,1.0,338,41,444982.7725802009,3.7599454284645617,11.29713302140724,
